 , ,S1,S2,S3,S4,V,L,PRAC DRILL,PLAY #,QB,HASH,FPOS,DN,DIST,PERSON,OFF FORM,MOTION,OFF PLAY,OVO CONCEPT,JERSEY #,OVO RESULT,PLAY CALL,R/P,GAIN,REC#,PLAY RESULT,FORM FAM,FIB,BLITZ,FRONT,RUSHERS,STUNT,COVERAGE,DFE TEAM,OFF TEAM,TAPE LABELS
25, , , , , , , , ,53,12,R,5,3,1,12,TRP FL,H MV,13 BANANA,12/13/BANANA,87,C++2, ,P,5, , ,SLD FLO, , , , , ,0 SY,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.053
26, , , , , , , , ,52,12,L,8,2,4,12,DOOR OFF FL,H ORB,12 BANANA,12/13/BANANA,8,R, ,R,3, , ,SLD FLO, , , , , ,6,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.052
27, , , , , , , , ,41,16,L,8,2,4,11,PLN FLO,H TAC,12 BANANA X BELLY,12/13/BANANA/BELLY,38,R+, ,R,8, , ,PLN FLO,N,M3 WC,BEAR, , ,0,WOFFORD,RICHMOND,24 0192 09-07-2024 VARI D vs SCWO.041
28, , , , , , , , ,8,16,L,10,1,10,11,PLN FLO,H TAC,12 BANANA BELLY,12/13/BANANA/BELLY,2,R, ,R,5, , ,PLN FLO, , ,BEAR INT 2,5, ,1,WILLIAM & MARY,RICHMOND,11182023WMVSRICHMONDDEFENSE.009
29, , , , , , , , ,14,14,R,-37,1,10,11,PLN OFF, ,13 BG,12/13/BG,8,R+, ,R,63, , ,PLN OFF,Y, ,UG, , ,3 WK ZD,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.014
30, , , , , , , , ,67,14,L,-41,3,3,11,ERLY OFF, ,12 BG,12/13/BG,9,R+, ,R,59, , ,ERLY OFF, , ,HEADS 9, , ,1,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.067
31, , , , , , , , ,53,16,L,48,3,1,11,ERLY OFF, ,12 BG,12/13/BG,9,R+, ,R,43, , ,ERLY OFF, , ,BEAR S, , ,3 STR,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.053
32, , , , , , , , ,31,14,R,-43,1,10,11,TEMPO, ,GREEN 0 (F/S 13 BG),12/13/BG,9,R+, ,R,19, ,C,ERLY OFF,N, ,UND G, , ,4 POACH,ELON,RICHMOND,24 0558 09-28-2024 NCEL O vs VARI.031
33, , , , , , , , ,56,14,L,31,2,7,11,LATE OFF, ,SUGAR (13 BG),12/13/BG,9,R+, ,R,12, , ,ERLY OFF,Y, ,UNDER, , ,6 ZD,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.056
34, , , , , , , , ,57,14,L,19,1,10,11,LATE OFF, ,SUGAR (13 BG),12/13/BG,9,R+, ,R,11, , ,ERLY OFF,Y, ,OW, , ,3 ZD,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.057
