 , ,S1,S2,S3,S4,V,L,PRAC DRILL,PLAY #,QB,HASH,FPOS,DN,DIST,PERSON,OFF FORM,MOTION,OFF PLAY,OVO CONCEPT,JERSEY #,OVO RESULT,PLAY CALL,R/P,GAIN,REC#,PLAY RESULT,FORM FAM,FIB,BLITZ,FRONT,RUSHERS,STUNT,COVERAGE,DFE TEAM,OFF TEAM,TAPE LABELS
376, , , , , , , , ,64,16,L,-30,2,7,21,GRN, ,18 LD,18/19/LD,2,R, ,R,0, , ,GRN, , ,UND G, , ,4,ELON,RICHMOND,23 1251 11-11-2023 VARI D vs NCEL.064
377, , , , , , , , ,36,14,R,-46,1,10,11,PLN OFF, ,19 LK HOSS,18/19/LK/HOSS,2,R+, ,R,17, , ,PLN OFF, , ,RUSH FIELD,4, ,1,CAMPBELL,RICHMOND,23 1004 10-28-2023 VARI D vs NCCM.036
378, , , , , , , , ,2,14,R,46,1,10,11,PLN,X FLY,19 LK HOSS,18/19/LK/HOSS,2,R, ,R,13, , ,PLN, , ,CUB S 2,4, ,4,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.002
379, , , , , , , , ,11,14,L,-25,1,10,11,AIR,Z FLY,18 LK HOSS,18/19/LK/HOSS,1,R+, ,R,10, , ,PLN, , ,UND G WO,5, ,4,MAINE,RICHMOND,23 0678 10-07-2023 MEUN O @ VARI.011
381, , , , , , , , ,53,16,L,13,1,10,11,AIR OFF, ,18 LK HOSS,18/19/LK/HOSS,4,C, ,P,7, , ,PLN OFF, , ,OVR G SLIDE,4, ,4,NCCU,RICHMOND,23 1528 11-25-2023 VARI D vs NCCE.053
382, , , , , , , , ,9,14,L,-20,1,10,11,AIR OFF, ,18 LK HOSS,18/19/LK/HOSS,3,C, ,P,6, , ,PLN OFF, ,R3,RUSH,4, ,6,CAMPBELL,RICHMOND,23 1004 10-28-2023 VARI D vs NCCM.009
383, , , , , , , , ,65,14,R,-37,1,10,11,AIR,Z FLY,18 LK HOSS,18/19/LK/HOSS,1,R, ,R,4, , ,PLN, , , ,4, ,4,MAINE,RICHMOND,23 0678 10-07-2023 MEUN O @ VARI.065
384, , , , , , , , ,55,16,L,35,2,8,11,AIR OFF, ,18 LK HOSS,18/19/LK/HOSS,1,R, ,R,3, , ,PLN OFF, , ,RUSH,5, ,6,CAMPBELL,RICHMOND,23 1004 10-28-2023 VARI D vs NCCM.055
385, , , , , , , , ,40,16,L,33,2,11,11,AIR OFF, ,18 LK HOSS,18/19/LK/HOSS,3,C, ,P,3, , ,PLN OFF,X, ,UND G MOB, , ,4,ELON,RICHMOND,23 1251 11-11-2023 VARI D vs NCEL.040
386, , , , , , , , ,28,14,R,-46,1,10,11,PLN,X FLY,19 HOSS,18/19/LK/HOSS,1,R, ,R,0, , ,PLN, , ,OVR G MOB,4, ,3 FZ,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.028
388, , , , , , , , ,39,16,M,14,2,5,12,DBL OFF FLO, ,19 LK H POP BOW,18/19/LK/POP/BOW,2,R+, ,R,14, , ,DBL OFF FLO, ,SAW (SBDC),UND 62,6, ,0,NCCU,RICHMOND,23 1528 11-25-2023 VARI D vs NCCE.039
389, , , , , , , , ,34, , , , , ,11,PLN,X BO,19 Q LD,18/19/Q/LD, , , ,R, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.034
390, , , , , , , , ,25,14, ,-37,1,10,12,DEUCE,Y MV,19 ROSCOE,18/19/ROSCOE,3,R++15, ,R,17, , ,DEUCE,N,GUT X,UGW, , ,3B,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.025
391, , , , , , , , ,17,14,R,47,2,10,11,LATE OFF, ,19 ROSCOE,18/19/ROSCOE,4,R+, ,R,11, , ,ERLY OFF, , ,HEADS, ,GAPS,4 POACH,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.017
392, , , , , , , , ,33,14,R,45,0,10,11,FLY LT,FLY,19 ROSCOE,18/19/ROSCOE,4,R, ,R,6, , ,ERLY OFF, , ,CUB STK MO,3,SLANT,4 ROBBER,HAMPTON,RICHMOND,23 0565 09-30-2023 VAHI O @ VARI.033
393, , , , , , , , ,10,11, ,-31,3,9, ,LATE, , ,18/19/SLIDE, , , ,R,3,9, , ,N, , , , , ,RICHMOND,WILLIAM & MARY,24 1450 11-23-2024 VAWM D @ VARI.010
394, , , , , , , , ,4,14, ,-25,0,10,11,ERLY FLX, ,F/S 21,20/21,9,R, ,R,-3, , , , , ,ODD, , ,6 CHOP,DELAWARE,RICHMOND,24 0881 10-19-2024 VARI D vs DEUN.004
395, , , , , , , , ,45,16,L,-25,1,10,11,ERLY FLX, ,21 PYTHON,20/21/PYTHON,8,R, ,R,9, , ,ERLY FLX, , , , , ,3 WK,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.045
396, , , , , , , , ,24,16,L,-44,1,10,11,ERLY FLX, ,21 PYTHON,20/21/PYTHON,1,R, ,R,7, , ,ERLY FLX, , , , , ,1,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.024
397, , , , , , , , ,40,14,R,-44,3,2,12,NITRO (DEUCE), ,23,22/23,9,R+, ,R,56, ,C,DEUCE,N, ,UND G, , ,0 SY,ELON,RICHMOND,24 0558 09-28-2024 NCEL O vs VARI.040
398, , , , , , , , ,31,14,L,-45,1,10,11,AIR OFF,H QK,23,22/23,9,R+, ,R,44, , ,PLN OFF,Y, ,OW, , ,3 STR,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.031
399, , , , , , , , ,21,12,L,-34,1,10,12,DEUCE LT, ,23,22/23,2,R+, ,R,19, , ,DEUCE, ,SC,UND,5, ,3 ZD,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.021
400, , , , , , , , ,16,14,R,-47,1,10,11,LATE OFF, ,22,22/23,2,R+, ,R,18, , ,ERLY OFF, , ,UND G 9,4, ,11,NC A&T,RICHMOND,23 0898 10-21-2023 VARI D @ NCAT.016
401, , , , , , , , ,18,16,R,-30,2,5,12,LAWN Y ON,H QK,22,22/23,2,R, ,R,13, , ,UNBL, , , , , ,3 SPEAR,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.018
402, , , , , , , , ,40,16,R,28,1,10,11,PLN OFF,Y ORB,22,22/23,38,R+, ,R,11, , ,PLN OFF,X, ,UND, , ,4,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.040
403, , , , , , , , ,31,14,L,-42,1,5,12,(SUGAR) DEUCE, ,22,22/23,2,R+, ,R,10, , ,DEUCE, , ,UND,4, ,3 WK,NC A&T,RICHMOND,23 0898 10-21-2023 VARI D @ NCAT.031
404, , , , , , , , ,19,16,L,-36,1,10,12,DBL FL, ,23,22/23,1,R, ,R,8, , ,UNB, , ,RUSH S,4, ,3 WK,DELAWARE ST,RICHMOND,23 0322 09-16-2023 VARI D vs DEST.019
405, , , , , , , , ,7,14,L,30,2,2,12,DEUCE PIST, ,22,22/23,8,R, ,R,8, , ,DEUCE,N, ,UW, , ,4,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.007
406, , , , , , , , ,19,14, ,-41,1,5,11,ERLY OFF, ,23,22/23,9,R+, ,R,8, , ,ERLY OFF,Y, ,ODD 4I, , ,4,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.019
407, , , , , , , , ,6,14,L,38,1,10,12,NITRO (DEUCE PIST), ,23,22/23,9,R, ,R,8, , ,DEUCE,N, ,UD, , ,31,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.006
408, , , , , , , , ,38,14, ,-20,1,15,11,ERLY OFF, ,23,22/23,9,R, ,R,7, , ,ERLY OFF,Y, ,OGW, , ,4,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.038
409, , , , , , , , ,46,18,M,-39,1,10,12,PLN FLO,H QK,23,22/23,1,R, ,R,6, , ,PLN FLO, , ,OVR G,4, ,6,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.046
410, , , , , , , , ,35,16,L,-38,2,8,12,DEUCE, ,23,22/23,2,R, ,R,6, , ,DEUCE, , ,UND G STK, , ,4 MAN,ELON,RICHMOND,23 1251 11-11-2023 VARI D vs NCEL.035
411, , , , , , , , ,5,14,R,-36,0,10,12,AIR FL,H QK,22,22/23,9,R, ,R,6, , ,PLN FLO,N, ,OVR G SLIDE, , ,4 CONE,ELON,RICHMOND,24 0558 09-28-2024 NCEL O vs VARI.005
412, , , , , , , , ,66,14,L,-35,2,9,11,ERLY OFF, ,23,22/23,9,R, ,R,6, , ,ERLY OFF, , ,RUSH, , ,4 POACH,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.066
413, , , , , , , , ,34,14,L,-25,0,10,11,ERLY OFF, ,23,22/23,9,R, ,R,6, , ,ERLY OFF, , ,UND G, , ,4 POACH,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.034
414, , , , , , , , ,32,14,L,48,1,10,12,(NITRO) DEUCE, ,23,22/23,2,R, ,R,5, , ,DEUCE, , ,UND S,4, ,3 WK,NC A&T,RICHMOND,23 0898 10-21-2023 VARI D @ NCAT.032
415, , , , , , , , ,15,14,L,-42,1,10,11,LATE OFF, ,22,22/23,8,R, ,R,5, , , , , ,UND TITE S, , ,4 POACH,CAMPBELL,RICHMOND,24 1216 11-09-2024 VARI D @ NCCM.015
416, , , , , , , , ,3,14,L,-45,1,10,12,TRP PIST, ,23,22/23,9,R, ,R,5, , , , , ,UND G TITE, , ,4 POACH,CAMPBELL,RICHMOND,24 1216 11-09-2024 VARI D @ NCCM.003
417, , , , , , , , ,30,16,L,-47,2,5,12,NITRO (DEUCE), ,23,22/23,2,R, ,R,4, , , , , ,UND STK,4, ,4,ALBANY,RICHMOND,23 1547 12-02-2023 VARI D @ NYAB.030
418, , , , , , , , ,39,16,R,-25,1,10,12,DBL OFF, ,23,22/23,7,R, ,R,4, , ,DBL OFF, , , , , ,3 ZD,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.039
419, , , , , , , , ,7,14,R,35,2,10,11,LATE OFF, ,22,22/23,9,R, ,R,4, , , , , ,UND G TITE S, , ,11,CAMPBELL,RICHMOND,24 1216 11-09-2024 VARI D @ NCCM.007
420, , , , , , , , ,2,16,L,-46,1,10,11,LATE OFF,H MV,22,22/23,2,R, ,R,3, , ,ERLY OFF, , ,OVR STK,4, ,11,WILLIAM & MARY,RICHMOND,11182023WMVSRICHMONDDEFENSE.002
421, , , , , , , , ,1,18,R,-32,0,10,11,AIR OFF,H QK,23,22/23,2,R, ,R,3, , ,PLN OFF, , ,CUB STK,3, ,3 STR,HAMPTON,RICHMOND,23 0565 09-30-2023 VAHI O @ VARI.001
422, , , , , , , , ,16,16,R,-25,2,10,11,ERLY OFF,H MV,23,22/23,8,R, ,R,3, , ,ERLY OFF, , ,OVR STK,4, ,11,WILLIAM & MARY,RICHMOND,11182023WMVSRICHMONDDEFENSE.017
423, , , , , , , , ,35,14,L,-20,1,10,12,DEUCE, ,22,22/23,8,R, ,R,3, , ,DEUCE, , ,CUB 2,5, ,4 MAN,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.035
424, , , , , , , , ,44,16,R,15,2,3,12,DEUCE, ,23,22/23,2,R, ,R,2, , ,DEUCE, , ,TITE 62, , ,4 MAN,ELON,RICHMOND,23 1251 11-11-2023 VARI D vs NCEL.044
425, , , , , , , , ,6,14, ,20,1,10,12,TRP PIST, ,23,22/23,7,R, ,R,2, , ,TRP,N, ,E2W, , ,6,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.006
426, , , , , , , , ,52,14,M,-48,0,10,12,DEUCE PIST, ,23,22/23,9,R, ,R,2, , ,DEUCE,N, ,UW, , ,4,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.052
427, , , , , , , , ,63,16,L,-45,1,10,11,PLN OFF, ,22,22/23,38,R, ,R,2, , ,PLN OFF, , ,UND WIDE, , ,4,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.063
428, , , , , , , , ,62,16,R,24,1,10,12,DOOR OFF FL, ,22,22/23,2,R, ,R,1, , ,DBL OFF FLO, , ,OVR,4, ,11,WILLIAM & MARY,RICHMOND,11182023WMVSRICHMONDDEFENSE.064
429, , , , , , , , ,23,14, ,-20,0,10,12,DEUCE, ,23,22/23,7,R, ,R,1, , ,DEUCE,N, , , , ,4,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.023
430, , , , , , , , ,6,14,R,-42,2,4,12,NITRO (DEUCE), ,23,22/23,9,R, ,R,1, , ,DEUCE,N, ,UND G, , ,4 MAN,ELON,RICHMOND,24 0558 09-28-2024 NCEL O vs VARI.006
431, , , , , , , , ,35,14,R,-28,0,10,12,PLN OFF,H QK,22,22/23,9,R, ,R,1, , ,PLN OFF,Y, ,OW, , ,3 STR,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.035
432, , , , , , , , ,18,14,R,-26,0,10,11,PLN OFF,H QK,22,22/23,9,R, ,R,1, , ,PLN OFF,Y, ,UND G, , ,4,ELON,RICHMOND,24 0558 09-28-2024 NCEL O vs VARI.018
433, , , , , , , , ,38,14,L,-25,0,10,11,ERLY OFF H ON,X BO,23,22/23,9,R, ,R,1, , , , , ,OVR G 9, , ,1 CHOP,HAMPTON,RICHMOND,24 1326 11-16-2024 VARI D @ VAHI.038
434, , , , , , , , ,23,14,R,14,2,1,12,DEUCE PIST, ,22,22/23,9,R, ,R,1, , ,DEUCE,N,BET THIS WAS A PYTHON CALL,ODD 3/5, , ,4,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.023
435, , , , , , , , ,54,18, ,16,4,2,12,DEUCE, ,22,22/23,38,R, ,R,1, , ,DEUCE,N,FS SAW,UGW, , ,0B,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.054
436, , , , , , , , ,15,12,L,-25,1,10,11,ERLY OFF,Y MOLLY,23,22/23,1,R, ,R,0, , ,ERLY OFF, ,BS3,UND G BS,5, ,3 SPEAR,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.015
437, , , , , , , , ,18,16,R,-49,2,10,12,SLD,X FLY,22,22/23,7,R, ,R,0, , ,TRP,N, ,BEAR, , ,4,WOFFORD,RICHMOND,24 0192 09-07-2024 VARI D vs SCWO.018
438, , , , , , , , ,37,14, ,-25,0,10,11,ERLY OFF, ,23,22/23,11,FALSTR, ,X,0, , ,ERLY OFF,N, , , , , ,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.037
439, , , , , , , , ,61,18, ,-25,0,10,11,ERLY OFF BCH PIST, ,23,22/23,7,R, ,R,-1, , ,BCH 3X1 OFF,N,M@B,UGW, , ,4,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.061
440, , , , , , , , ,48,14, ,30,2,4,11,LATE OFF, ,SUGAR (22),22/23,7,R, ,R,-1, , ,ERLY OFF,N,CHOP,ODD 4I, , ,6,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.048
441, , , , , , , , ,50,14, ,-34,2,10,11,ERLY OFF, ,F/S 23,22/23,8,R, ,R,-1, , , , , ,ODD, , ,11,DELAWARE,RICHMOND,24 0881 10-19-2024 VARI D vs DEUN.050
442, , , , , , , , ,55,16,R,32,2,2,12,(NITRO) DEUCE, ,22,22/23,2,R, ,R,-2, , ,DEUCE, , ,UND S,4, ,3 STR,NC A&T,RICHMOND,23 0898 10-21-2023 VARI D @ NCAT.055
443, , , , , , , , ,23,14,L,-13,1,10,12,DBL OFF FLO, ,23,22/23,2,R, ,R,-3, , ,DBL OFF FLO, , ,OVR 9,4, ,3 ZD,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.023
444, , , , , , , , ,39,16,R,-47,1,10,12,TRP FL,Z QK,23,22/23,2,R, ,R,-10, , ,SLD FLO, ,CHOP,OVR G,5, ,3 CHOP,WILLIAM & MARY,RICHMOND,11182023WMVSRICHMONDDEFENSE.041
445, , , , , , , , ,2,14,L,21,1,10,11,ERLY OFF H ON,X RET,23,22/23,71,FALSTR, ,X, , , , , , ,OVR G 9, , , ,HAMPTON,RICHMOND,24 1326 11-16-2024 VARI D @ VAHI.002
446, , , , , , , , ,5,14,R,-36,2,5,11,LATE OFF BCH X ON, ,22,22/23,9,R++15, ,R,21, , ,BCH 3X1 OFF, ,OVR 9, , ,3 BUZZ, ,LEHIGH,RICHMOND,24 1589 11-30-2024 VARI D vs PALE.005
447, , , , , , , , ,51, , , , , ,12,DBL OFF,H ORB,23,22/23, , , ,R, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.051
448, , , , , , , , ,8,14,R,-44,1,10,12,AIR FL,H QK,22 (CK 22 DN),22/23,9,R, ,R,8, , ,PLN FLO, , ,RUSH, , ,11,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.008
449, , , , , , , , ,19,14,L,31,1,10,12,PLN FLO,H QK,23,22/23,9,R, ,R,6, , ,PLN FLO, , ,OVR 9, , ,3 STR,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.019
450, , , , , , , , ,32,14,R,-30,1,10,12,AIR FL,H QK,22 (CK 22 DN),22/23,9,R, ,R,6, , ,PLN FLO, , ,RUSH, , ,3 STR,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.032
451, , , , , , , , ,52,14,R,-49,2,6,12,DOOR OFF FL,H QK,22 (CK 22 DN),22/23,9,R+, ,R,13, , ,DBL OFF FLO, ,FIELD STRIKE,RUSH, , ,3 ZD,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.052
452, , , , , , , , ,54,14,R,35,2,7,12,DOOR OFF, ,22,22/23,9,R, ,R,3, , ,DBL OFF, ,CHOP,OVR G, , ,6 CHOP,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.054
453, , , , , , , , ,56,14,R,23,1,10,12,DOOR OFF, ,22,22/23,1,INC, ,P,0, , ,DBL OFF, ,CHOP,OVR G, , ,6 CHOP,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.056
454, , , , , , , , ,57,14,R,23,2,10,12,DOOR OFF FL, ,22,22/23,9,R, ,R,7, , ,DBL OFF FLO, ,BS@3,OVR G, , ,1 SPEAR,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.057
455, , , , , , , , ,58,14,R,16,3,3,12,DOOR OFF FL, ,SUGAR (22) (CK. 22 DN),22/23,9,R++15, ,R,14, , ,DBL OFF FLO, , ,BEAR, , ,11,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.058
456, , , , , , , , ,59,14,R,-16,2,5,11,LAWN,H MV,22,22/23,9,R, ,R,4, , ,UNB, ,OVR 9, , ,3 BUZZ, ,LEHIGH,RICHMOND,24 1589 11-30-2024 VARI D vs PALE.059
457, , , , , , , , ,65,14,R,-29,4,8,11,LATE OFF H ON,Z QK,24 WEST LD (CHECK 22),22/23,9,R, ,R,2, , ,UNB, ,OVR G 9, , ,3 BUZZ, ,LEHIGH,RICHMOND,24 1589 11-30-2024 VARI D vs PALE.065
458, , , , , , , , ,17,14,R,-28,1,10,11,LATE OFF, ,22 BELLY,22/23/BELLY,2,R+, ,R,18, , ,ERLY OFF, , ,UND G,4, ,3 FLD CLD,MAINE,RICHMOND,23 0678 10-07-2023 MEUN O @ VARI.017
459, , , , , , , , ,9,16,R,-12,1,10,11,LATE FLX, ,23 CRASH,22/23/CRASH,2,R, ,R,5, , ,ERLY FLX, , ,UND G MO, , ,41 CONE,ELON,RICHMOND,23 1251 11-11-2023 VARI D vs NCEL.009
460, , , , , , , , ,59,14,M,-41,1,10,11,LATE FLX, ,23 CRASH,22/23/CRASH,2,R, ,R,4, , ,ERLY FLX, , , ,4, ,6,MAINE,RICHMOND,23 0678 10-07-2023 MEUN O @ VARI.059
461, , , , , , , , ,47,14,M,49,2,1,12,DEUCE PIST, ,22 DN,22/23/DN,14,R++15, ,R,25, , , , , ,UND G S, , ,4,TOWSON,RICHMOND,24 1108 11-02-2024 VARI D vs MDTO.047
462, , , , , , , , ,41,14,L,-36,1,10,12,DBL OFF,X FLY,23 DN,22/23/DN,9,R++15, ,R,14, , , , , ,BEAR 9, , ,3 WK,HAMPTON,RICHMOND,24 1326 11-16-2024 VARI D @ VAHI.041
463, , , , , , , , ,15,14,R,-33,3,2,12,DOOR OFF,Z FLY,22 DN,22/23/DN,9,R, ,R,6, , , , , ,OVR G 9, , ,0 SY,HAMPTON,RICHMOND,24 1326 11-16-2024 VARI D @ VAHI.015
464, , , , , , , , ,5,14,R,17,1,10,12,DEUCE, ,23 DN,22/23/DN,2,R, ,R,5, , ,DEUCE, , ,CUB S 2,4, ,6,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.005
465, , , , , , , , ,45,14,R,-42,1,10,12,TEMPO, ,NITRO (DEUCE) 23 DN,22/23/DN,9,SCR, ,R,4, , , , , ,RUSH, , ,3 CLD,TOWSON,RICHMOND,24 1108 11-02-2024 VARI D vs MDTO.045
466, , , , , , , , ,5,16,R,-25,2,9,12,PLN FLO,H QK,23 DN,22/23/DN,9,R, ,R,4, , ,PLN FLO, , , , , , ,CHARLESTON SOUTHERN,RICHMOND,24 0310 09-14-2024 VARI D vs SCCH.005
467, , , , , , , , ,5,14,L,3,2,3,12,DBL OFF,X FLY,23 DN,22/23/DN,9,R, ,R,3, , , , , ,BEAR, , ,0 SY,HAMPTON,RICHMOND,24 1326 11-16-2024 VARI D @ VAHI.005
468, , , , , , , , ,54,14,R,41,1,10,12,DEUCE PIST, ,23 DN,22/23/DN,8,R, ,R,2, , , , , ,UND TITE, , ,3 FZ,TOWSON,RICHMOND,24 1108 11-02-2024 VARI D vs MDTO.054
469, , , , , , , , ,24,14,L,-34,0,10,12,DEUCE, ,22 DN,22/23/DN,9,R, ,R,2, , , , , ,UND TITE S, , ,4,CAMPBELL,RICHMOND,24 1216 11-09-2024 VARI D @ NCCM.024
470, , , , , , , , ,32,14, ,6,1,6,12,NITRO (DEUCE), ,23 DN,22/23/DN,9,R, ,R,0, , , , , ,ODD, , ,2 CHOP ROBBER,DELAWARE,RICHMOND,24 0881 10-19-2024 VARI D vs DEUN.032
471, , , , , , , , ,12,16,L,-34,3,1,12,DEUCE, ,23 DN,22/23/DN,7,R, ,R,-1, , ,DEUCE, , ,BEAR, , ,3 WK,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.012
472, , , , , , , , ,36,16,L,-25,0,10,12,DBL OFF, ,23 DN,22/23/DN,9,R, ,R,-2, , ,DBL OFF, , , , , ,CHANGE,CHARLESTON SOUTHERN,RICHMOND,24 0310 09-14-2024 VARI D vs SCCH.036
473, , , , , , , , ,25,14,R,-16,1,10,12,DOOR OFF, ,22 DN,22/23/DN,9,R, ,R,-2, , , , , ,RUSH, , ,4 POACH,TOWSON,RICHMOND,24 1108 11-02-2024 VARI D vs MDTO.025
474, , , , , , , , ,33,14,R,-36,2,4,12,DOOR OFF,Z FLY,22 DN,22/23/DN,9,R, ,R,1, , ,DBL OFF, , ,RUSH, , ,6 CHOP,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.033
475, , , , , , , , ,41,14,R,35,1,10,12,DOOR OFF, ,22 DN,22/23/DN,8,R, ,R,4, , ,DBL OFF, , ,RUSH, , ,3 STR,WILLIAM & MARY,RICHMOND,24 1450 11-23-2024 VARI D vs VAWM.041
476, , , , , , , , ,18,14,L,8,5,8,12,DOOR OFF, ,22 DN,22/23/DN,9,R, ,R,0, , ,DBL OFF,X,HEADS, , ,4, ,LEHIGH,RICHMOND,24 1589 11-30-2024 VARI D vs PALE.018
477, , , , , , , , ,35,14,R,11,1,10,12,DEUCE, ,23 DN,22/23/DN,9,R, ,R,2, , ,DEUCE, ,UND G, , ,4, ,LEHIGH,RICHMOND,24 1589 11-30-2024 VARI D vs PALE.035
478, , , , , , , , ,37,14,L,3,3,2,11,LATE OFF,Y MV,23,22/23/DN,9,R, ,R,2, , ,ERLY OFF,X,UND, , ,4, ,LEHIGH,RICHMOND,24 1589 11-30-2024 VARI D vs PALE.037
479, , , , , , , , ,36,14,L,6,1,6,12,DOOR OFF,Z QK,ICKY 22 DN,22/23/DN/ICKEY,14,R+, ,R,6, ,C,DBL OFF,N, ,UND G, , ,MATCH,ELON,RICHMOND,24 0558 09-28-2024 NCEL O vs VARI.036
480, , , , , , , , ,5,14,L,-20,0,10,11,ERLY OFF, ,F/S 23,22/23/F/S,9,R+, ,R,42, , ,ERLY OFF,N, ,UW, , ,3 ZD,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.005
481, , , , , , , , ,40,14, ,-36,0,10,12,SLD, ,F/S 22,22/23/F/S,9,R, ,R,2, , , , , ,ODD, , ,3 ZD,DELAWARE,RICHMOND,24 0881 10-19-2024 VARI D vs DEUN.040
482, , , , , , , , ,28,14,L,16,3,13,11,ERLY OFF, ,F/S 23,22/23/F/S,9,R, ,R,1, , ,ERLY OFF,N, ,UGW, , ,4 CONE,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.028
483, , , , , , , , ,42,16,R,-33,1,10,11,LATE OFF, ,22 Q FLASH,22/23/FLASH/Q,2,R, ,R,0, , ,ERLY OFF, , ,OVR G S,4,N ANGLE,3 STR,DELAWARE ST,RICHMOND,23 0322 09-16-2023 VARI D vs DEST.042
484, , , , , , , , ,54,16,L,37,1,10,11,AIR OFF,H QK,23 HORSE,22/23/HORSE,1,R, ,R,2, , ,PLN OFF, , ,RUSH,5, ,11,CAMPBELL,RICHMOND,23 1004 10-28-2023 VARI D vs NCCM.054
485, , , , , , , , ,41,16,M,16,1,10,21,LATE OFF PIST,Q LT,22 HORSE T,22/23/HORSE/T,8,FALSTR, ,PE,-5, , ,ERLY OFF, , ,RUSH FIELD, , , ,CAMPBELL,RICHMOND,23 1004 10-28-2023 VARI D vs NCCM.041
486, , , , , , , , ,36, , , , , ,11,PLN OFF,H QK,22,22/23/LD, , , ,R, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.036
487, , , , , , , , ,59,16,R,-40,1,10,11,ERLY OFF,T RT,23 Q,22/23/Q,16,R+, ,R,47, , ,ERLY OFF,X, ,HEADS +, , ,4 POACH,ELON,RICHMOND,23 1251 11-11-2023 VARI D vs NCEL.059
488, , , , , , , , ,52,16,R,-35,1,10,11,LATE OFF,T RT,22 Q,22/23/Q,16,R+, ,R,10, , ,ERLY OFF, ,SB,OVR G 9 WO,4, ,3 FZ,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.052
489, , , , , , , , ,57,16,R,7,1,7,11,LAWN,T RT,22 Q,22/23/Q,16,R+, ,R,7, , ,RAKE, , ,BEAR MO 1,4,SLANT,6 CONE,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.057
490, , , , , , , , ,9,16,R,13,1,10,11,TRK FLX PLUTO,Y MV,22 Q,22/23/Q,16,R, ,R,6, , ,EMPTY, , ,UND MO,4, ,11,NC A&T,RICHMOND,23 0898 10-21-2023 VARI D @ NCAT.009
